id,provincia,nombre,lat,lon
5401403002,Misiones,Dos de Mayo Núcleo II,-27.0318614590439,-54.6649126897402
54007020,Misiones,Azara,-28.0607079301754,-55.6770709044893
54007025,Misiones,Barrio Rural,-27.8811249994632,-55.7872757699423
54007030,Misiones,Estación Apóstoles,-27.911529115791,-55.8092186405509
54007040,Misiones,Pindapoy,-27.749423151438,-55.7947789586155
54007050,Misiones,Rincón de Azara,-28.1136188920138,-55.6295324099074
54007060,Misiones,San José,-27.7699944020142,-55.7803037098363
54007070,Misiones,Tres Capones,-28.0042531114421,-55.6094041493467
54007010,Misiones,Apóstoles,-27.9141359337054,-55.7548578406666
54014010,Misiones,Aristóbulo del Valle,-27.095675650663,-54.8934176144238
54014020,Misiones,Campo Grande,-27.2079594757129,-54.9797023999934
54014050,Misiones,Dos de Mayo Nucleo III (Bº Bernardino Rivadavia),-27.013338352247,-54.6081561343144
54014060,Misiones,1º de Mayo,-27.1679908455962,-55.0290627050208
54014070,Misiones,Pueblo Illia,-27.1525774961752,-54.5607361918512
54021020,Misiones,Candelaria,-27.4612179179034,-55.7439632349916
54014080,Misiones,Salto Encantado,-27.0873225759686,-54.8333673267174
54014055,Misiones,Kilómetro 17,-27.3157401414387,-54.9027258895434
54014030,Misiones,Dos de Mayo,-27.0199367725495,-54.6845309683247
54021010,Misiones,Bonpland,-27.4854037770063,-55.4800946081688
54021030,Misiones,Cerro Corá,-27.5119171907114,-55.6096055001528
54021050,Misiones,Mártires,-27.4231319468937,-55.3772951438647
54021060,Misiones,Profundidad,-27.5617193816031,-55.7045653968785
54021070,Misiones,Puerto Santa Ana,-27.3356474494144,-55.5831271516349
54021040,Misiones,Loreto,-27.3329451758117,-55.5222494577568
54021080,Misiones,Santa Ana,-27.3692137837182,-55.5817097004515
54021005,Misiones,Barrio del Lago,-27.4665218225907,-55.7989929706314
54028010,Misiones,Garupá,-27.4837771073615,-55.8297016552887
54028020,Misiones,Nemesio Parma,-27.3564760995956,-56.0172226758984
54028040,Misiones,Posadas (Extensión),-27.4524336750218,-55.8527114869609
54028030,Misiones,Posadas,-27.3664259799962,-55.8939802751923
54035010,Misiones,Barra Concepción,-28.1166982283608,-55.5815159939001
54035020,Misiones,Concepción de la Sierra,-27.9805783904721,-55.5215882217731
54035030,Misiones,La Corita,-27.8925337769167,-55.3555548841936
54035040,Misiones,Santa María,-27.9345141293085,-55.407334404252
54042010,Misiones,Colonia Victoria,-26.3336870242994,-54.6246096255617
54042030,Misiones,María Magdalena,-26.2372829535012,-54.6028964192686
54042035,Misiones,Nueva Delicia,-26.1817287082965,-54.5912164492971
54042040,Misiones,9 de Julio Kilómetro 28,-26.4302805288504,-54.4664724264768
54042050,Misiones,9 de Julio Kilómetro 20,-26.4147164146002,-54.495858793798
54042055,Misiones,Pueblo Nuevo,-26.2434147442071,-54.5912229687966
54042060,Misiones,Puerto Mado,-26.2297441722291,-54.623547911127
54042070,Misiones,Puerto Pinares,-26.4273389693379,-54.6829642579317
54042090,Misiones,Valle Hermoso,-26.3844224331976,-54.4634621731852
54042100,Misiones,Villa Roulet,-26.4423688186645,-54.6404687715455
54042080,Misiones,Santiago de Liniers,-26.4011899197027,-54.415647354223
54042020,Misiones,Eldorado,-26.4088769640649,-54.6070530398259
54049010,Misiones,Comandante Andresito,-25.6671648439804,-54.0498617471609
54049025,Misiones,Caburei,-25.6821342595151,-54.1413600614806
